Year,Sponsor,Type,counts
2005,China,Espionage,1
2006,China,Espionage,3
2007,China,Espionage,7
2007,Israel,Denial of service,1
2007,Russian Federation,Denial of service,1
2007,"Taiwan, United States",Denial of service,1
2008,China,Espionage,5
2008,Russian Federation,Denial of service,1
2008,Russian Federation,Espionage,1
2009,China,Espionage,3
2009,Korea (Democratic People's Republic of),Denial of service,1
2010,China,Espionage,5
2010,Iran (Islamic Republic of),Defacement,1
2010,"Israel, United States",Sabotage,1
2010,Vietnam,Denial of service,1
2011,China,Espionage,9
2011,Israel,Espionage,1
2011,Korea (Democratic People's Republic of),Denial of service,2
2011,Unknown,Espionage,2
2012,China,Espionage,5
2012,Iran (Islamic Republic of),Denial of service,3
2012,Iran (Islamic Republic of),Data destruction,1
2012,Iran (Islamic Republic of),Espionage,1
2012,"United States, Israel",Data destruction,1
2012,"United States, Israel",Espionage,1
2013,China,Espionage,11
2013,India,Espionage,1
2013,Iran (Islamic Republic of),Espionage,1
2013,Korea (Democratic People's Republic of),Denial of service,1
2013,Korea (Democratic People's Republic of),Espionage,1
2013,Russian Federation,Espionage,4
2014,China,Espionage,17
2014,France,Espionage,1
2014,Iran (Islamic Republic of),Espionage,3
2014,Iran (Islamic Republic of),Data destruction,1
2014,Korea (Democratic People's Republic of),Doxing,1
2014,Korea (Republic of),Espionage,1
2014,Russian Federation,Espionage,6
2014,Russian Federation,Uncateogrized,1
2014,Spain,Espionage,1
2014,"United Kingdom, United States",Espionage,1
2014,Unknown,Espionage,1
2014,Unknown,Sabotage,1
2015,China,Espionage,11
2015,China,Denial of service,1
2015,China,Uncateogrized,1
2015,Iran (Islamic Republic of),Espionage,4
2015,Israel,Espionage,1
2015,Korea (Democratic People's Republic of),Espionage,2
2015,Russian Federation,Espionage,7
2015,Russian Federation,Defacement,1
2015,Russian Federation,Sabotage,1
2015,United States,Espionage,1
2015,Unknown,Espionage,2
2015,Vietnam,Espionage,1
2016,China,Espionage,5
2016,Iran (Islamic Republic of),Espionage,2
2016,Kazakhstan,Espionage,1
2016,Korea (Democratic People's Republic of),Espionage,3
2016,Korea (Democratic People's Republic of),Sabotage,1
2016,Russian Federation,Espionage,7
2016,Russian Federation,Data destruction,1
2016,Russian Federation,Denial of service,1
2016,Russian Federation,Sabotage,1
2016,United Arab Emirates,Espionage,1
2016,United States,Espionage,1
2016,United States,Sabotage,1
2016,Unknown,Espionage,5
2016,Unknown,Data destruction,2
2017,China,Espionage,6
2017,Ethiopia,Espionage,1
2017,Iran (Islamic Republic of),Espionage,6
2017,Israel,Espionage,1
2017,Korea (Democratic People's Republic of),Sabotage,2
2017,Korea (Democratic People's Republic of),Data destruction,1
2017,Korea (Democratic People's Republic of),Espionage,1
2017,Mexico,Espionage,1
2017,Panama,Espionage,1
2017,Russian Federation,Espionage,14
2017,Russian Federation,Data destruction,1
2017,Russian Federation,Denial of service,1
2017,Russian Federation,Sabotage,1
2017,United Arab Emirates,Defacement,1
2017,United States,Denial of service,1
2017,United States,Espionage,1
2017,United States,Sabotage,1
2017,Unknown,Espionage,4
2017,Unknown,Sabotage,1
2018,China,Espionage,14
2018,China,Uncateogrized,1
2018,"China, Russian Federation",Espionage,1
2018,Iran (Islamic Republic of),Espionage,4
2018,Iran (Islamic Republic of),Uncateogrized,2
2018,Korea (Democratic People's Republic of),Espionage,7
2018,Korea (Democratic People's Republic of),Doxing,1
2018,Korea (Democratic People's Republic of),Uncateogrized,1
2018,Lebanon,Espionage,1
2018,Mexico,Espionage,1
2018,Netherlands,Espionage,1
2018,Pakistan,Espionage,2
2018,Russian Federation,Espionage,18
2018,Russian Federation,Doxing,4
2018,Russian Federation,Sabotage,3
2018,Saudi Arabia,Espionage,2
2018,United Kingdom,Sabotage,1
2018,Unknown,Espionage,13
2018,Unknown,Uncateogrized,2
2019,China,Espionage,2
2019,"China, Russian Federation",Espionage,1
2019,Iran (Islamic Republic of),Espionage,1
2019,Russian Federation,Espionage,3
2019,United Arab Emirates,Espionage,1
2019,United States,Denial of service,1
2019,Unknown,Uncateogrized,1
