ID,state,industry,counts
9,CA,10,62
109,NY,10,36
142,TX,40,25
31,FL,10,19
48,IL,10,13
76,MI,40,11
114,OH,10,11
63,MA,10,10
81,MN,40,10
126,PA,10,10
36,GA,40,9
14,CO,10,8
83,MO,10,8
150,VA,10,8
68,MD,40,8
7,AZ,40,8
160,WA,10,7
58,KY,40,7
53,IN,40,7
101,NJ,10,7
18,CT,40,6
138,TN,10,6
91,NC,40,6
122,OR,40,5
165,WI,40,5
147,UT,10,4
72,ME,10,4
41,IA,40,4
156,VT,30,4
134,SC,40,3
107,NV,10,3
88,MT,10,3
60,LA,10,3
56,KS,40,3
45,ID,40,3
106,NM,40,2
131,RI,10,2
96,NE,40,2
97,NH,10,2
119,OK,10,2
86,MS,40,2
27,DE,10,2
23,DC,30,2
2,AL,20,2
169,WV,10,1
136,SD,20,1
146,US,40,1
0,AK,10,1
40,HI,10,1
6,AR,40,1
95,ND,50,1
171,WY,40,1
