,FundingType,Funded,FundingAmount
0,Angel,2017,19794997.0
1,Angel,2018,18849184.0
2,Angel,2019,1489890.0
3,Pre-Seed,2017,1201716.0
4,Pre-Seed,2018,3510605.0
5,Pre-Seed,2019,252958.0
6,Seed,2017,124288047.0
7,Seed,2018,244173346.0
8,Seed,2019,117106694.0
9,Series A,2017,463611850.0
10,Series A,2018,840098797.0
11,Series A,2019,343285162.0
12,Series B,2017,317260497.0
13,Series B,2018,1417916470.0
14,Series B,2019,616372796.0
15,Series C,2017,318286569.0
16,Series C,2018,316590362.0
17,Series C,2019,481971167.0
18,Series D,2017,292300000.0
19,Series D,2018,540800000.0
20,Series D,2019,420000000.0
21,Series E,2017,146830739.0
22,Series E,2018,348000000.0
23,Series E,2019,555000000.0
24,Series F,2018,191700000.0
25,Series F,2019,123000000.0
26,Series G,2018,100000000.0
27,Series G,2019,149000000.0
